 	K1: SI:1
 	V AD
 	 
2020.07.06 08:03:07	 
2020.07.06 08:03:08	00,000
2020.07.06 10:34:33	00,000
2020.07.06 10:34:34	00,717
2020.07.06 10:34:35	03,488
2020.07.06 10:34:36	02,610
2020.07.06 10:34:37	02,964
2020.07.06 10:34:38	02,936
2020.07.06 10:34:39	02,937
2020.07.06 10:34:40	02,937
2020.07.06 10:34:41	02,938
2020.07.06 10:34:43	02,938
2020.07.06 10:34:44	02,939
2020.07.06 10:34:45	02,940
2020.07.06 10:34:46	02,946
2020.07.06 10:34:47	02,952
2020.07.06 10:34:48	02,957
2020.07.06 10:34:49	02,963
2020.07.06 10:34:50	02,966
2020.07.06 10:34:51	02,965
2020.07.06 10:34:53	02,965
2020.07.06 10:34:54	02,966
2020.07.06 10:34:55	02,967
2020.07.06 10:34:56	02,968
2020.07.06 10:34:57	02,968
2020.07.06 10:34:58	02,967
2020.07.06 10:35:01	02,967
2020.07.06 10:35:02	02,966
2020.07.06 10:35:03	02,967
2020.07.06 10:35:04	02,967
2020.07.06 10:35:05	02,966
2020.07.06 10:35:06	02,967
2020.07.06 10:35:07	02,968
2020.07.06 10:35:09	02,968
2020.07.06 10:35:10	02,967
2020.07.06 10:35:13	02,967
2020.07.06 10:35:14	02,968
2020.07.06 10:35:22	02,968
2020.07.06 10:35:23	02,967
2020.07.06 10:35:24	02,968
2020.07.06 10:35:25	02,969
2020.07.06 10:35:26	02,968
2020.07.06 10:35:27	02,969
2020.07.06 10:35:28	02,969
2020.07.06 10:35:29	02,970
2020.07.06 10:35:30	02,970
2020.07.06 10:35:31	02,969
2020.07.06 10:35:32	02,969
2020.07.06 10:35:33	02,968
2020.07.06 10:35:34	02,969
2020.07.06 10:35:41	02,969
2020.07.06 10:35:42	02,968
2020.07.06 10:35:43	02,966
2020.07.06 10:35:44	02,965
2020.07.06 10:35:47	02,965
2020.07.06 10:35:48	02,964
2020.07.06 10:35:49	02,965
2020.07.06 10:35:52	02,965
2020.07.06 10:35:53	02,964
2020.07.06 10:35:56	02,964
2020.07.06 10:35:57	02,965
2020.07.06 10:35:59	02,965
2020.07.06 10:36:00	02,966
2020.07.06 10:36:01	02,966
2020.07.06 10:36:02	02,965
2020.07.06 10:36:03	02,966
2020.07.06 10:36:04	02,966
2020.07.06 10:36:05	02,967
2020.07.06 10:36:06	02,966
2020.07.06 10:36:07	02,966
2020.07.06 10:36:08	02,967
2020.07.06 10:36:09	02,967
2020.07.06 10:36:10	02,968
2020.07.06 10:36:11	02,969
2020.07.06 10:36:12	02,968
2020.07.06 10:36:13	02,969
2020.07.06 10:36:14	02,971
2020.07.06 10:36:15	02,972
2020.07.06 10:36:16	02,971
2020.07.06 10:36:21	02,971
2020.07.06 10:36:22	02,972
2020.07.06 10:36:25	02,972
2020.07.06 10:36:26	02,973
2020.07.06 10:36:27	02,972
2020.07.06 10:36:28	02,971
2020.07.06 10:36:29	02,972
2020.07.06 10:36:30	02,971
2020.07.06 10:36:31	02,970
2020.07.06 10:36:32	02,971
2020.07.06 10:36:33	02,972
2020.07.06 10:36:34	02,971
2020.07.06 10:36:35	02,972
2020.07.06 10:36:36	02,973
2020.07.06 10:36:37	02,973
2020.07.06 10:36:38	02,972
2020.07.06 10:36:39	02,971
2020.07.06 10:36:40	02,970
2020.07.06 10:36:41	02,971
2020.07.06 10:36:42	02,971
2020.07.06 10:36:43	02,972
2020.07.06 10:36:50	02,972
2020.07.06 10:36:51	02,971
2020.07.06 10:36:52	02,971
2020.07.06 10:36:53	02,972
2020.07.06 10:36:55	02,972
2020.07.06 10:36:56	02,973
2020.07.06 10:36:57	02,974
2020.07.06 10:36:58	02,974
2020.07.06 10:36:59	02,973
2020.07.06 10:37:00	02,972
2020.07.06 10:37:04	02,972
2020.07.06 10:37:05	02,973
2020.07.06 10:37:10	02,973
2020.07.06 10:37:11	02,972
2020.07.06 10:37:12	02,971
2020.07.06 10:37:13	02,970
2020.07.06 10:37:14	02,968
2020.07.06 10:37:15	02,968
2020.07.06 10:37:16	02,967
2020.07.06 10:37:17	02,967
2020.07.06 10:37:18	02,966
2020.07.06 10:37:19	02,965
2020.07.06 10:37:20	02,960
2020.07.06 10:37:21	02,940
2020.07.06 10:37:22	02,703
2020.07.06 10:37:23	02,803
2020.07.06 10:37:24	02,814
2020.07.06 10:37:25	02,798
2020.07.06 10:37:26	02,795
2020.07.06 10:37:27	02,795
2020.07.06 10:37:28	02,794
2020.07.06 10:37:29	02,794
2020.07.06 10:37:30	02,797
2020.07.06 10:37:31	02,798
2020.07.06 10:37:32	02,798
2020.07.06 10:37:33	02,797
2020.07.06 10:37:34	02,795
2020.07.06 10:37:35	02,796
2020.07.06 10:37:36	02,795
2020.07.06 10:37:37	02,794
2020.07.06 10:37:38	02,796
2020.07.06 10:37:39	02,797
2020.07.06 10:37:40	02,796
2020.07.06 10:37:41	02,799
2020.07.06 10:37:42	02,801
2020.07.06 10:37:43	02,799
2020.07.06 10:37:44	02,796
2020.07.06 10:37:45	02,794
2020.07.06 10:37:46	02,794
2020.07.06 10:37:47	02,795
2020.07.06 10:37:48	02,795
2020.07.06 10:37:49	02,797
2020.07.06 10:37:50	02,797
2020.07.06 10:37:51	02,795
2020.07.06 10:37:52	02,796
2020.07.06 10:37:55	02,796
2020.07.06 10:37:56	02,795
2020.07.06 10:37:57	02,796
2020.07.06 10:37:58	02,797
2020.07.06 10:37:59	02,797
2020.07.06 10:38:00	02,798
2020.07.06 10:38:01	02,801
2020.07.06 10:38:02	02,801
2020.07.06 10:38:03	02,800
2020.07.06 10:38:04	02,799
2020.07.06 10:38:05	02,797
2020.07.06 10:38:06	02,793
2020.07.06 10:38:07	02,794
2020.07.06 10:38:08	02,796
2020.07.06 10:38:09	02,799
2020.07.06 10:38:10	02,799
2020.07.06 10:38:11	02,798
2020.07.06 10:38:12	02,800
2020.07.06 10:38:13	02,800
2020.07.06 10:38:14	02,802
2020.07.06 10:38:15	02,804
2020.07.06 10:38:17	02,804
2020.07.06 10:38:18	02,806
2020.07.06 10:38:19	02,806
2020.07.06 10:38:20	02,805
2020.07.06 10:38:21	02,804
2020.07.06 10:38:22	02,805
2020.07.06 10:38:26	02,805
2020.07.06 10:38:27	02,804
2020.07.06 10:38:28	02,801
2020.07.06 10:38:30	02,801
2020.07.06 10:38:31	02,800
2020.07.06 10:38:32	02,799
2020.07.06 10:38:33	02,795
2020.07.06 10:38:36	02,795
2020.07.06 10:38:37	02,798
2020.07.06 10:38:38	02,797
2020.07.06 10:38:39	02,797
2020.07.06 10:38:40	02,798
2020.07.06 10:38:41	02,800
2020.07.06 10:38:42	02,804
2020.07.06 10:38:43	02,803
2020.07.06 10:38:44	02,801
2020.07.06 10:38:45	02,801
2020.07.06 10:38:46	02,803
2020.07.06 10:38:47	02,803
2020.07.06 10:38:48	02,804
2020.07.06 10:38:49	02,804
2020.07.06 10:38:50	02,803
2020.07.06 10:38:51	02,802
2020.07.06 10:38:52	02,801
2020.07.06 10:38:55	02,801
2020.07.06 10:38:56	02,800
2020.07.06 10:38:57	02,798
2020.07.06 10:38:58	02,797
2020.07.06 10:38:59	02,795
2020.07.06 10:39:00	02,795
2020.07.06 10:39:01	02,796
2020.07.06 10:39:02	02,797
2020.07.06 10:39:03	02,798
2020.07.06 10:39:05	02,798
2020.07.06 10:39:06	02,799
2020.07.06 10:39:08	02,799
2020.07.06 10:39:09	02,798
2020.07.06 10:39:10	02,797
2020.07.06 10:39:11	02,794
2020.07.06 10:39:12	02,797
2020.07.06 10:39:13	02,798
2020.07.06 10:39:14	02,799
2020.07.06 10:39:15	02,800
2020.07.06 10:39:16	02,800
2020.07.06 10:39:17	02,801
2020.07.06 10:39:19	02,801
2020.07.06 10:39:20	02,802
2020.07.06 10:39:21	02,803
2020.07.06 10:39:22	02,802
2020.07.06 10:39:23	02,801
2020.07.06 10:39:24	02,799
2020.07.06 10:39:25	02,799
2020.07.06 10:39:26	02,798
2020.07.06 10:39:27	02,798
2020.07.06 10:39:28	02,799
2020.07.06 10:39:29	02,799
2020.07.06 10:39:30	02,798
2020.07.06 10:39:31	02,797
2020.07.06 10:39:34	02,797
2020.07.06 10:39:35	02,798
2020.07.06 10:39:36	02,800
2020.07.06 10:39:37	02,797
2020.07.06 10:39:38	02,796
2020.07.06 10:39:39	02,800
2020.07.06 10:39:40	02,800
2020.07.06 10:39:41	02,799
2020.07.06 10:39:42	02,800
2020.07.06 10:39:43	02,801
2020.07.06 10:39:44	02,801
2020.07.06 10:39:45	02,800
2020.07.06 10:39:46	02,799
2020.07.06 10:39:47	02,800
2020.07.06 10:39:48	02,802
2020.07.06 10:39:49	02,801
2020.07.06 10:39:50	02,800
2020.07.06 10:39:51	02,801
2020.07.06 10:39:52	02,800
2020.07.06 10:39:53	02,799
2020.07.06 10:39:54	02,800
2020.07.06 10:39:55	02,799
2020.07.06 10:39:56	02,798
2020.07.06 10:39:57	02,799
2020.07.06 10:39:58	02,802
2020.07.06 10:39:59	02,804
2020.07.06 10:40:00	02,804
2020.07.06 10:40:01	02,802
2020.07.06 10:40:02	02,801
2020.07.06 10:40:04	02,801
2020.07.06 10:40:05	02,802
2020.07.06 10:40:06	02,801
2020.07.06 10:40:07	02,799
2020.07.06 10:40:08	02,800
2020.07.06 10:40:09	02,800
2020.07.06 10:40:10	02,799
2020.07.06 10:40:11	02,799
2020.07.06 10:40:12	02,801
2020.07.06 10:40:13	02,801
2020.07.06 10:40:14	02,799
2020.07.06 10:40:15	02,798
2020.07.06 10:40:16	02,799
2020.07.06 10:40:17	02,800
2020.07.06 10:40:18	02,799
2020.07.06 10:40:19	02,798
2020.07.06 10:40:20	02,799
2020.07.06 10:40:21	02,802
2020.07.06 10:40:22	02,801
2020.07.06 10:40:23	02,800
2020.07.06 10:40:24	02,798
2020.07.06 10:40:25	02,796
2020.07.06 10:40:26	02,795
2020.07.06 10:40:27	02,794
2020.07.06 10:40:28	02,796
2020.07.06 10:40:29	02,798
2020.07.06 10:40:30	02,798
2020.07.06 10:40:31	02,797
2020.07.06 10:40:32	02,796
2020.07.06 10:40:33	02,797
2020.07.06 10:40:34	02,798
2020.07.06 10:40:35	02,800
2020.07.06 10:40:36	02,803
2020.07.06 10:40:37	02,802
2020.07.06 10:40:38	02,799
2020.07.06 10:40:39	02,800
2020.07.06 10:40:40	02,801
2020.07.06 10:40:41	02,802
2020.07.06 10:40:42	02,802
2020.07.06 10:40:43	02,801
2020.07.06 10:40:46	02,801
2020.07.06 10:40:47	02,799
2020.07.06 10:40:48	02,798
2020.07.06 10:40:50	02,798
2020.07.06 10:40:51	02,797
2020.07.06 10:40:52	02,798
2020.07.06 10:40:53	02,797
2020.07.06 10:40:54	02,795
2020.07.06 10:40:55	02,795
2020.07.06 10:40:56	02,797
2020.07.06 10:40:57	02,797
2020.07.06 10:40:58	02,798
2020.07.06 10:40:59	02,799
2020.07.06 10:41:00	02,797
2020.07.06 10:41:01	02,797
2020.07.06 10:41:02	02,798
2020.07.06 10:41:06	02,798
2020.07.06 10:41:07	02,799
2020.07.06 10:41:08	02,800
2020.07.06 10:41:09	02,799
2020.07.06 10:41:10	02,798
2020.07.06 10:41:11	02,800
2020.07.06 10:41:12	02,800
2020.07.06 10:41:13	02,797
2020.07.06 10:41:14	02,797
2020.07.06 10:41:15	02,799
2020.07.06 10:41:16	02,798
2020.07.06 10:41:17	02,797
2020.07.06 10:41:18	02,797
2020.07.06 10:41:19	02,798
2020.07.06 10:41:20	02,797
2020.07.06 10:41:21	02,798
2020.07.06 10:41:22	02,800
2020.07.06 10:41:23	02,799
2020.07.06 10:41:26	02,799
2020.07.06 10:41:27	02,798
2020.07.06 10:41:28	02,796
2020.07.06 10:41:29	02,796
2020.07.06 10:41:30	02,798
2020.07.06 10:41:31	02,798
2020.07.06 10:41:32	02,796
2020.07.06 10:41:33	02,794
2020.07.06 10:41:34	02,793
2020.07.06 10:41:35	02,794
2020.07.06 10:41:36	02,795
2020.07.06 10:41:37	02,796
2020.07.06 10:41:38	02,797
2020.07.06 10:41:41	02,797
2020.07.06 10:41:42	02,798
2020.07.06 10:41:43	02,800
2020.07.06 10:41:44	02,799
2020.07.06 10:41:46	02,799
2020.07.06 10:41:47	02,798
2020.07.06 10:41:48	02,796
2020.07.06 10:41:49	02,795
2020.07.06 10:41:52	02,795
2020.07.06 10:41:53	02,798
2020.07.06 10:41:54	02,799
2020.07.06 10:41:55	02,796
2020.07.06 10:41:56	02,794
2020.07.06 10:41:57	02,792
2020.07.06 10:41:58	02,793
2020.07.06 10:42:00	02,793
2020.07.06 10:42:01	02,795
2020.07.06 10:42:07	02,795
2020.07.06 10:42:08	02,794
2020.07.06 10:42:10	02,794
2020.07.06 10:42:11	02,795
2020.07.06 10:42:12	02,794
2020.07.06 10:42:13	02,793
2020.07.06 10:42:14	02,793
2020.07.06 10:42:15	02,795
2020.07.06 10:42:16	02,793
2020.07.06 10:42:17	02,792
2020.07.06 10:42:18	02,793
2020.07.06 10:42:19	02,792
2020.07.06 10:42:20	02,793
2020.07.06 10:42:21	02,794
2020.07.06 10:42:22	02,793
2020.07.06 10:42:25	02,793
2020.07.06 10:42:26	02,794
2020.07.06 10:42:27	02,795
2020.07.06 10:42:28	02,796
2020.07.06 10:42:29	02,796
2020.07.06 10:42:30	02,795
2020.07.06 10:42:31	02,796
2020.07.06 10:42:32	02,796
2020.07.06 10:42:33	02,795
2020.07.06 10:42:34	02,796
2020.07.06 10:42:36	02,796
2020.07.06 10:42:37	02,795
2020.07.06 10:42:38	02,796
2020.07.06 10:42:39	02,795
2020.07.06 10:42:40	02,795
2020.07.06 10:42:41	02,796
2020.07.06 10:42:42	02,795
2020.07.06 10:42:43	02,793
2020.07.06 10:42:45	02,793
2020.07.06 10:42:46	02,794
2020.07.06 10:42:47	02,794
2020.07.06 10:42:48	02,793
2020.07.06 10:42:49	02,793
2020.07.06 10:42:50	02,795
2020.07.06 10:42:51	02,796
2020.07.06 10:42:52	02,795
2020.07.06 10:42:53	02,794
2020.07.06 10:42:54	02,793
2020.07.06 10:42:55	02,793
2020.07.06 10:42:56	02,794
2020.07.06 10:42:58	02,794
2020.07.06 10:42:59	02,792
2020.07.06 10:43:00	02,792
2020.07.06 10:43:01	02,794
2020.07.06 10:43:02	02,796
2020.07.06 10:43:03	02,795
2020.07.06 10:43:04	02,794
2020.07.06 10:43:05	02,793
2020.07.06 10:43:06	02,792
2020.07.06 10:43:07	02,791
2020.07.06 10:43:08	02,792
2020.07.06 10:43:09	02,793
2020.07.06 10:43:10	02,793
2020.07.06 10:43:11	02,792
2020.07.06 10:43:12	02,792
2020.07.06 10:43:13	02,794
2020.07.06 10:43:14	02,797
2020.07.06 10:43:15	02,797
2020.07.06 10:43:16	02,794
2020.07.06 10:43:17	02,793
2020.07.06 10:43:18	02,791
2020.07.06 10:43:19	02,790
2020.07.06 10:43:20	02,791
2020.07.06 10:43:21	02,791
2020.07.06 10:43:22	02,790
2020.07.06 10:43:23	02,790
2020.07.06 10:43:24	02,792
2020.07.06 10:43:25	02,794
2020.07.06 10:43:26	02,794
2020.07.06 10:43:27	02,792
2020.07.06 10:43:29	02,792
2020.07.06 10:43:30	02,791
2020.07.06 10:43:31	02,792
2020.07.06 10:43:32	02,793
2020.07.06 10:43:35	02,793
2020.07.06 10:43:36	02,794
2020.07.06 10:43:37	02,793
2020.07.06 10:43:38	02,793
2020.07.06 10:43:39	02,792
2020.07.06 10:43:40	02,791
2020.07.06 10:43:41	02,790
2020.07.06 10:43:42	02,789
2020.07.06 10:43:43	02,789
2020.07.06 10:43:44	02,790
2020.07.06 10:43:45	02,791
2020.07.06 10:43:46	02,793
2020.07.06 10:43:47	02,793
2020.07.06 10:43:48	02,791
2020.07.06 10:43:49	02,792
2020.07.06 10:43:50	02,793
2020.07.06 10:43:51	02,793
2020.07.06 10:43:52	02,791
2020.07.06 10:43:53	02,790
2020.07.06 10:43:54	02,789
2020.07.06 10:43:56	02,789
2020.07.06 10:43:57	02,787
2020.07.06 10:43:58	02,788
2020.07.06 10:43:59	02,789
2020.07.06 10:44:00	02,791
2020.07.06 10:44:01	02,792
2020.07.06 10:44:02	02,790
2020.07.06 10:44:03	02,789
2020.07.06 10:44:04	02,789
2020.07.06 10:44:05	02,788
2020.07.06 10:44:07	02,788
2020.07.06 10:44:08	02,787
2020.07.06 10:44:09	02,790
2020.07.06 10:44:10	02,792
2020.07.06 10:44:11	02,793
2020.07.06 10:44:12	02,796
2020.07.06 10:44:13	02,796
2020.07.06 10:44:14	02,794
2020.07.06 10:44:15	02,794
2020.07.06 10:44:16	02,790
2020.07.06 10:44:17	02,788
2020.07.06 10:44:18	02,788
2020.07.06 10:44:19	02,942
2020.07.06 10:44:20	02,935
2020.07.06 10:44:21	02,934
2020.07.06 10:44:22	02,933
2020.07.06 10:44:23	02,930
2020.07.06 10:44:24	02,932
2020.07.06 10:44:25	02,937
2020.07.06 10:44:26	02,938
2020.07.06 10:44:27	02,935
2020.07.06 10:44:28	02,935
2020.07.06 10:44:29	02,939
2020.07.06 10:44:30	02,943
2020.07.06 10:44:31	02,943
2020.07.06 10:44:32	02,942
2020.07.06 10:44:33	02,943
2020.07.06 10:44:34	02,945
2020.07.06 10:44:36	02,945
2020.07.06 10:44:37	02,944
2020.07.06 10:44:38	02,943
2020.07.06 10:44:39	02,942
2020.07.06 10:44:40	02,942
2020.07.06 10:44:41	02,943
2020.07.06 10:44:44	02,943
2020.07.06 10:44:45	02,942
2020.07.06 10:44:46	02,942
2020.07.06 10:44:47	02,944
2020.07.06 10:44:48	02,944
2020.07.06 10:44:49	02,942
2020.07.06 10:44:50	02,941
2020.07.06 10:44:51	02,940
2020.07.06 10:44:52	02,941
2020.07.06 10:44:53	02,942
2020.07.06 10:44:55	02,942
2020.07.06 10:44:56	02,941
2020.07.06 10:44:57	02,940
2020.07.06 10:44:59	02,940
2020.07.06 10:45:00	02,941
2020.07.06 10:45:01	02,943
2020.07.06 10:45:02	02,942
2020.07.06 10:45:03	02,940
2020.07.06 10:45:04	02,939
2020.07.06 10:45:05	02,940
2020.07.06 10:45:06	02,941
2020.07.06 10:45:07	02,942
2020.07.06 10:45:08	02,941
2020.07.06 10:45:09	02,941
2020.07.06 10:45:10	02,939
2020.07.06 10:45:11	02,938
2020.07.06 10:45:12	02,938
2020.07.06 10:45:13	02,940
2020.07.06 10:45:14	02,941
2020.07.06 10:45:15	02,939
2020.07.06 10:45:16	02,938
2020.07.06 10:45:18	02,938
2020.07.06 10:45:19	02,939
2020.07.06 10:45:20	02,940
2020.07.06 10:45:21	02,939
2020.07.06 10:45:22	02,937
2020.07.06 10:45:23	02,938
2020.07.06 10:45:24	02,938
2020.07.06 10:45:25	02,937
2020.07.06 10:45:26	02,938
2020.07.06 10:45:27	02,939
2020.07.06 10:45:28	02,937
2020.07.06 10:45:29	02,936
2020.07.06 10:45:30	02,936
2020.07.06 10:45:31	02,938
2020.07.06 10:45:32	02,939
2020.07.06 10:45:33	02,936
2020.07.06 10:45:34	02,934
2020.07.06 10:45:35	02,936
2020.07.06 10:45:36	02,937
2020.07.06 10:45:37	02,938
2020.07.06 10:45:38	02,937
2020.07.06 10:45:39	02,934
2020.07.06 10:45:40	02,935
2020.07.06 10:45:41	02,937
2020.07.06 10:45:43	02,937
2020.07.06 10:45:44	02,935
2020.07.06 10:45:45	02,934
2020.07.06 10:45:46	02,936
2020.07.06 10:45:47	02,936
2020.07.06 10:45:48	02,937
2020.07.06 10:45:49	02,938
2020.07.06 10:45:50	02,935
2020.07.06 10:45:51	02,933
2020.07.06 10:45:52	02,934
2020.07.06 10:45:53	02,936
2020.07.06 10:45:54	02,937
2020.07.06 10:45:55	02,932
2020.07.06 10:45:56	02,931
2020.07.06 10:45:57	02,934
2020.07.06 10:45:58	02,936
2020.07.06 10:45:59	02,935
2020.07.06 10:46:00	02,933
2020.07.06 10:46:01	02,931
2020.07.06 10:46:02	02,932
2020.07.06 10:46:03	02,936
2020.07.06 10:46:04	02,934
2020.07.06 10:46:05	02,930
2020.07.06 10:46:06	02,931
2020.07.06 10:46:07	02,935
2020.07.06 10:46:08	02,933
2020.07.06 10:46:09	02,931
2020.07.06 10:46:10	02,933
2020.07.06 10:46:11	02,935
2020.07.06 10:46:12	02,933
2020.07.06 10:46:13	02,931
2020.07.06 10:46:14	02,933
2020.07.06 10:46:15	02,935
2020.07.06 10:46:16	02,932
2020.07.06 10:46:17	02,928
2020.07.06 10:46:18	02,931
2020.07.06 10:46:19	02,932
2020.07.06 10:46:20	02,931
2020.07.06 10:46:21	02,931
2020.07.06 10:46:22	02,929
2020.07.06 10:46:23	02,932
2020.07.06 10:46:24	02,935
2020.07.06 10:46:25	02,932
2020.07.06 10:46:26	02,928
2020.07.06 10:46:27	02,929
2020.07.06 10:46:28	02,933
2020.07.06 10:46:29	02,932
2020.07.06 10:46:30	02,930
2020.07.06 10:46:31	02,932
2020.07.06 10:46:32	02,934
2020.07.06 10:46:33	02,933
2020.07.06 10:46:34	02,931
2020.07.06 10:46:35	02,931
2020.07.06 10:46:36	02,934
2020.07.06 10:46:37	02,932
2020.07.06 10:46:38	02,927
2020.07.06 10:46:39	02,925
2020.07.06 10:46:40	02,928
2020.07.06 10:46:41	02,932
2020.07.06 10:46:42	02,931
2020.07.06 10:46:43	02,928
2020.07.06 10:46:44	02,930
2020.07.06 10:46:45	02,933
2020.07.06 10:46:46	02,931
2020.07.06 10:46:47	02,927
2020.07.06 10:46:48	02,928
2020.07.06 10:46:49	02,931
2020.07.06 10:46:50	02,929
2020.07.06 10:46:51	02,924
2020.07.06 10:46:52	02,926
2020.07.06 10:46:53	02,928
2020.07.06 10:46:54	02,929
2020.07.06 10:46:55	02,928
2020.07.06 10:46:56	02,927
2020.07.06 10:46:57	02,929
2020.07.06 10:46:58	02,930
2020.07.06 10:46:59	02,929
2020.07.06 10:47:00	02,926
2020.07.06 10:47:01	02,925
2020.07.06 10:47:02	02,928
2020.07.06 10:47:03	02,927
2020.07.06 10:47:04	02,922
2020.07.06 10:47:05	02,923
2020.07.06 10:47:06	02,925
2020.07.06 10:47:07	02,926
2020.07.06 10:47:08	02,928
2020.07.06 10:47:09	02,927
2020.07.06 10:47:10	02,925
2020.07.06 10:47:11	02,927
2020.07.06 10:47:12	02,928
2020.07.06 10:47:13	02,925
2020.07.06 10:47:14	02,922
2020.07.06 10:47:15	02,916
2020.07.06 10:47:16	02,890
2020.07.06 10:47:17	02,837
2020.07.06 10:47:18	02,797
2020.07.06 10:47:19	02,818
2020.07.06 10:47:20	02,920
2020.07.06 10:47:21	02,921
2020.07.06 10:47:22	02,922
2020.07.06 10:47:23	02,919
2020.07.06 10:47:24	02,917
2020.07.06 10:47:25	02,919
2020.07.06 10:47:26	02,922
2020.07.06 10:47:27	02,925
2020.07.06 10:47:28	02,924
2020.07.06 10:47:29	02,922
2020.07.06 10:47:30	02,924
2020.07.06 10:47:31	02,928
2020.07.06 10:47:32	02,927
2020.07.06 10:47:33	02,923
2020.07.06 10:47:34	02,924
2020.07.06 10:47:35	02,927
2020.07.06 10:47:36	02,925
2020.07.06 10:47:37	02,923
2020.07.06 10:47:38	02,925
2020.07.06 10:47:39	02,927
2020.07.06 10:47:40	02,926
2020.07.06 10:47:41	02,925
2020.07.06 10:47:42	02,926
2020.07.06 10:47:43	02,927
2020.07.06 10:47:44	02,924
2020.07.06 10:47:45	02,920
2020.07.06 10:47:46	02,921
2020.07.06 10:47:47	02,923
2020.07.06 10:47:48	02,925
2020.07.06 10:47:49	02,925
2020.07.06 10:47:50	02,922
2020.07.06 10:47:51	02,921
2020.07.06 10:47:52	02,926
2020.07.06 10:47:53	02,926
2020.07.06 10:47:54	02,922
2020.07.06 10:47:55	02,918
2020.07.06 10:47:56	02,919
2020.07.06 10:47:57	02,924
2020.07.06 10:47:58	02,927
2020.07.06 10:47:59	02,923
2020.07.06 10:48:00	02,920
2020.07.06 10:48:01	02,922
2020.07.06 10:48:02	02,915
2020.07.06 10:48:03	02,903
2020.07.06 10:48:04	02,693
2020.07.06 10:48:05	02,781
2020.07.06 10:48:06	02,780
2020.07.06 10:48:07	02,769
2020.07.06 10:48:08	02,772
2020.07.06 10:48:09	02,923
2020.07.06 10:48:10	02,919
2020.07.06 10:48:11	02,920
2020.07.06 10:48:12	02,921
2020.07.06 10:48:13	02,918
2020.07.06 10:48:14	02,916
2020.07.06 10:48:15	02,920
2020.07.06 10:48:18	02,920
2020.07.06 10:48:19	02,918
2020.07.06 10:48:20	02,920
2020.07.06 10:48:21	02,925
2020.07.06 10:48:22	02,924
2020.07.06 10:48:23	02,919
2020.07.06 10:48:24	02,920
2020.07.06 10:48:25	02,925
2020.07.06 10:48:26	02,919
2020.07.06 10:48:27	02,897
2020.07.06 10:48:28	02,711
2020.07.06 10:48:29	02,822
2020.07.06 10:48:30	02,777
2020.07.06 10:48:31	02,787
2020.07.06 10:48:32	02,787
2020.07.06 10:48:33	02,783
2020.07.06 10:48:34	02,769
2020.07.06 10:48:35	02,759
2020.07.06 10:48:36	02,890
2020.07.06 10:48:37	02,918
2020.07.06 10:48:38	02,917
2020.07.06 10:48:39	02,919
2020.07.06 10:48:40	02,922
2020.07.06 10:48:41	02,922
2020.07.06 10:48:42	02,920
2020.07.06 10:48:43	02,917
2020.07.06 10:48:44	02,918
2020.07.06 10:48:45	02,920
2020.07.06 10:48:46	02,920
2020.07.06 10:48:47	02,919
2020.07.06 10:48:50	02,919
2020.07.06 10:48:51	02,920
2020.07.06 10:48:52	02,922
2020.07.06 10:48:53	02,921
2020.07.06 10:48:54	02,917
2020.07.06 10:48:55	02,919
2020.07.06 10:48:56	02,922
2020.07.06 10:48:57	02,921
2020.07.06 10:48:58	02,920
2020.07.06 10:48:59	02,918
2020.07.06 10:49:00	02,917
2020.07.06 10:49:01	02,918
2020.07.06 10:49:02	02,919
2020.07.06 10:49:03	02,920
2020.07.06 10:49:04	02,918
2020.07.06 10:49:05	02,916
2020.07.06 10:49:06	02,918
2020.07.06 10:49:07	02,920
2020.07.06 10:49:08	02,919
2020.07.06 10:49:09	02,917
2020.07.06 10:49:10	02,915
2020.07.06 10:49:11	02,914
2020.07.06 10:49:12	02,916
2020.07.06 10:49:13	02,918
2020.07.06 10:49:14	02,918
2020.07.06 10:49:15	02,917
2020.07.06 10:49:16	02,915
2020.07.06 10:49:17	02,913
2020.07.06 10:49:18	02,915
2020.07.06 10:49:19	02,918
2020.07.06 10:49:20	02,917
2020.07.06 10:49:21	02,918
2020.07.06 10:49:22	02,916
2020.07.06 10:49:23	02,914
2020.07.06 10:49:24	02,914
2020.07.06 10:49:25	02,917
2020.07.06 10:49:26	02,911
2020.07.06 10:49:27	02,893
2020.07.06 10:49:28	02,703
2020.07.06 10:49:29	02,806
2020.07.06 10:49:30	02,796
2020.07.06 10:49:31	02,796
2020.07.06 10:49:32	02,805
2020.07.06 10:49:33	02,802
2020.07.06 10:49:34	02,799
2020.07.06 10:49:35	02,804
2020.07.06 10:49:36	02,808
2020.07.06 10:49:37	02,805
2020.07.06 10:49:38	02,804
2020.07.06 10:49:39	02,804
2020.07.06 10:49:40	02,806
2020.07.06 10:49:41	02,813
2020.07.06 10:49:42	02,818
2020.07.06 10:49:43	02,817
2020.07.06 10:49:44	02,813
2020.07.06 10:49:45	02,811
2020.07.06 10:49:46	02,811
2020.07.06 10:49:47	03,893
2020.07.06 10:49:48	04,210
2020.07.06 10:49:49	04,213
2020.07.06 10:49:50	04,345
2020.07.06 10:49:51	04,343
2020.07.06 10:49:52	04,345
2020.07.06 10:49:53	04,344
2020.07.06 10:49:54	04,346
2020.07.06 10:49:55	04,347
2020.07.06 10:49:56	04,346
2020.07.06 10:49:57	04,347
