 	K1: SI:1
 	V AD
 	 
2020.07.09 08:17:03	 
2020.07.09 08:17:04	000,00
2020.07.09 09:42:32	000,00
2020.07.09 09:42:33	092,64E-3
2020.07.09 09:42:34	092,88E-3
2020.07.09 09:42:35	092,89E-3
2020.07.09 09:42:36	093,00E-3
2020.07.09 09:42:37	093,06E-3
2020.07.09 09:42:38	093,10E-3
2020.07.09 09:42:39	093,21E-3
2020.07.09 09:42:40	093,40E-3
2020.07.09 09:42:41	093,52E-3
2020.07.09 09:42:42	083,03E-3
2020.07.09 09:42:43	092,80E-3
2020.07.09 09:42:44	092,31E-3
2020.07.09 09:42:45	093,12E-3
2020.07.09 09:42:46	093,54E-3
2020.07.09 09:42:47	093,71E-3
2020.07.09 09:42:48	093,72E-3
2020.07.09 09:42:49	093,78E-3
2020.07.09 09:42:50	093,82E-3
2020.07.09 09:42:51	093,85E-3
2020.07.09 09:42:52	093,73E-3
2020.07.09 09:42:53	093,53E-3
2020.07.09 09:42:54	093,51E-3
2020.07.09 09:42:55	093,68E-3
2020.07.09 09:42:56	093,82E-3
2020.07.09 09:42:57	093,84E-3
2020.07.09 09:42:58	093,85E-3
2020.07.09 09:42:59	093,87E-3
2020.07.09 09:43:00	093,91E-3
2020.07.09 09:43:01	093,93E-3
2020.07.09 09:43:02	093,95E-3
2020.07.09 09:43:03	093,98E-3
2020.07.09 09:43:04	094,00E-3
2020.07.09 09:43:05	094,02E-3
2020.07.09 09:43:06	094,04E-3
2020.07.09 09:43:07	086,81E-3
2020.07.09 09:43:08	1,1347
2020.07.09 09:43:09	0L
2020.07.09 09:43:10	02,690
2020.07.09 09:43:11	3,0056
2020.07.09 09:43:12	3,0001
2020.07.09 09:43:13	2,9999
2020.07.09 09:43:14	2,9970
2020.07.09 09:43:15	2,9964
2020.07.09 09:43:16	2,9965
2020.07.09 09:43:17	2,9962
2020.07.09 09:43:18	2,9956
2020.07.09 09:43:19	2,9987
2020.07.09 09:43:20	3,0139
2020.07.09 09:43:21	3,0158
2020.07.09 09:43:22	3,0186
2020.07.09 09:43:23	3,0258
2020.07.09 09:43:24	3,0293
2020.07.09 09:43:25	3,0286
2020.07.09 09:43:26	3,0286
2020.07.09 09:43:27	3,0295
2020.07.09 09:43:28	3,0282
2020.07.09 09:43:29	3,0268
2020.07.09 09:43:30	3,0254
2020.07.09 09:43:31	3,0257
2020.07.09 09:43:32	3,0265
2020.07.09 09:43:33	3,0267
2020.07.09 09:43:34	3,0276
2020.07.09 09:43:35	3,0272
2020.07.09 09:43:36	3,0258
2020.07.09 09:43:37	3,0255
2020.07.09 09:43:38	3,0256
2020.07.09 09:43:39	3,0248
2020.07.09 09:43:40	3,0252
2020.07.09 09:43:41	3,0254
2020.07.09 09:43:42	3,0256
2020.07.09 09:43:43	3,0263
2020.07.09 09:43:44	3,0262
2020.07.09 09:43:45	3,0263
2020.07.09 09:43:46	3,0262
2020.07.09 09:43:47	3,0245
2020.07.09 09:43:48	3,0250
2020.07.09 09:43:49	3,0256
2020.07.09 09:43:50	3,0247
2020.07.09 09:43:51	3,0256
2020.07.09 09:43:52	3,0263
2020.07.09 09:43:53	3,0255
2020.07.09 09:43:54	3,0250
2020.07.09 09:43:55	3,0256
2020.07.09 09:43:56	3,0262
2020.07.09 09:43:57	3,0258
2020.07.09 09:43:58	3,0250
2020.07.09 09:43:59	3,0251
2020.07.09 09:44:00	3,0256
2020.07.09 09:44:01	3,0256
2020.07.09 09:44:02	3,0261
2020.07.09 09:44:03	3,0268
2020.07.09 09:44:04	3,0264
2020.07.09 09:44:05	3,0264
2020.07.09 09:44:06	3,0268
2020.07.09 09:44:07	3,0271
2020.07.09 09:44:08	3,0272
2020.07.09 09:44:09	3,0267
2020.07.09 09:44:10	3,0268
2020.07.09 09:44:11	3,0266
2020.07.09 09:44:12	3,0262
2020.07.09 09:44:13	3,0267
2020.07.09 09:44:14	3,0268
2020.07.09 09:44:15	3,0257
2020.07.09 09:44:16	3,0251
2020.07.09 09:44:17	3,0262
2020.07.09 09:44:18	3,0266
2020.07.09 09:44:19	3,0263
2020.07.09 09:44:20	3,0270
2020.07.09 09:44:21	3,0291
2020.07.09 09:44:22	3,0317
2020.07.09 09:44:23	3,0339
2020.07.09 09:44:24	3,0367
2020.07.09 09:44:25	3,0400
2020.07.09 09:44:26	3,0414
2020.07.09 09:44:27	3,0437
2020.07.09 09:44:28	3,0461
2020.07.09 09:44:29	3,0469
2020.07.09 09:44:30	3,0475
2020.07.09 09:44:31	3,0475
2020.07.09 09:44:32	3,0482
2020.07.09 09:44:33	3,0490
2020.07.09 09:44:34	3,0488
2020.07.09 09:44:35	3,0484
2020.07.09 09:44:36	3,0485
2020.07.09 09:44:37	3,0480
2020.07.09 09:44:38	3,0476
2020.07.09 09:44:39	3,0481
2020.07.09 09:44:40	3,0477
2020.07.09 09:44:41	3,0471
2020.07.09 09:44:42	3,0475
2020.07.09 09:44:43	3,0476
2020.07.09 09:44:44	3,0474
2020.07.09 09:44:45	3,0472
2020.07.09 09:44:46	3,0472
2020.07.09 09:44:47	3,0468
2020.07.09 09:44:48	3,0471
2020.07.09 09:44:49	3,0476
2020.07.09 09:44:50	3,0470
2020.07.09 09:44:51	3,0465
2020.07.09 09:44:52	3,0468
2020.07.09 09:44:53	3,0466
2020.07.09 09:44:54	3,0464
2020.07.09 09:44:55	3,0468
2020.07.09 09:44:56	3,0463
2020.07.09 09:44:57	3,0460
2020.07.09 09:44:58	3,0463
2020.07.09 09:44:59	3,0464
2020.07.09 09:45:00	3,0470
2020.07.09 09:45:01	3,0474
2020.07.09 09:45:02	3,0469
2020.07.09 09:45:03	3,0462
2020.07.09 09:45:04	3,0460
2020.07.09 09:45:05	3,0457
2020.07.09 09:45:06	3,0454
2020.07.09 09:45:07	3,0453
2020.07.09 09:45:08	3,0453
2020.07.09 09:45:09	3,0459
2020.07.09 09:45:10	3,0462
2020.07.09 09:45:11	3,0454
2020.07.09 09:45:12	3,0457
2020.07.09 09:45:13	3,0465
2020.07.09 09:45:14	3,0458
2020.07.09 09:45:15	3,0454
2020.07.09 09:45:16	3,0454
2020.07.09 09:45:17	3,0453
2020.07.09 09:45:18	3,0454
2020.07.09 09:45:19	3,0453
2020.07.09 09:45:20	3,0454
2020.07.09 09:45:21	3,0453
2020.07.09 09:45:22	3,0455
2020.07.09 09:45:23	3,0461
2020.07.09 09:45:24	3,0458
2020.07.09 09:45:25	3,0450
2020.07.09 09:45:26	3,0446
2020.07.09 09:45:27	3,0442
2020.07.09 09:45:28	3,0441
2020.07.09 09:45:29	3,0446
2020.07.09 09:45:30	3,0452
2020.07.09 09:45:31	3,0450
2020.07.09 09:45:32	3,0448
2020.07.09 09:45:33	3,0450
2020.07.09 09:45:34	3,0454
2020.07.09 09:45:35	3,0451
2020.07.09 09:45:36	3,0444
2020.07.09 09:45:37	3,0447
2020.07.09 09:45:38	3,0443
2020.07.09 09:45:39	3,0435
2020.07.09 09:45:40	3,0438
2020.07.09 09:45:41	3,0443
2020.07.09 09:45:42	3,0443
2020.07.09 09:45:43	3,0441
2020.07.09 09:45:44	3,0441
2020.07.09 09:45:45	3,0437
2020.07.09 09:45:46	3,0439
2020.07.09 09:45:47	3,0442
2020.07.09 09:45:48	3,0439
2020.07.09 09:45:49	3,0435
2020.07.09 09:45:50	3,0427
2020.07.09 09:45:51	3,0430
2020.07.09 09:45:52	3,0437
2020.07.09 09:45:53	3,0437
2020.07.09 09:45:54	3,0435
2020.07.09 09:45:55	3,0438
2020.07.09 09:45:56	3,0439
2020.07.09 09:45:57	3,0431
2020.07.09 09:45:58	3,0429
2020.07.09 09:45:59	3,0429
2020.07.09 09:46:00	3,0427
2020.07.09 09:46:01	3,0431
2020.07.09 09:46:02	3,0440
2020.07.09 09:46:03	3,0441
2020.07.09 09:46:04	3,0435
2020.07.09 09:46:05	3,0438
2020.07.09 09:46:06	3,0436
2020.07.09 09:46:07	3,0433
2020.07.09 09:46:08	3,0430
2020.07.09 09:46:09	3,0424
2020.07.09 09:46:10	3,0422
2020.07.09 09:46:11	3,0417
2020.07.09 09:46:12	3,0417
2020.07.09 09:46:13	3,0425
2020.07.09 09:46:14	3,0424
2020.07.09 09:46:15	3,0418
2020.07.09 09:46:16	3,0417
2020.07.09 09:46:17	3,0413
2020.07.09 09:46:18	3,0410
2020.07.09 09:46:19	3,0412
2020.07.09 09:46:20	3,0412
2020.07.09 09:46:21	3,0409
2020.07.09 09:46:22	3,0405
2020.07.09 09:46:23	3,0411
2020.07.09 09:46:24	3,0417
2020.07.09 09:46:25	3,0418
2020.07.09 09:46:26	3,0418
2020.07.09 09:46:27	3,0414
2020.07.09 09:46:28	3,0412
2020.07.09 09:46:29	3,0409
2020.07.09 09:46:30	3,0409
2020.07.09 09:46:31	3,0406
2020.07.09 09:46:32	3,0398
2020.07.09 09:46:33	3,0400
2020.07.09 09:46:34	3,0403
2020.07.09 09:46:35	3,0401
2020.07.09 09:46:36	3,0402
2020.07.09 09:46:37	3,0403
2020.07.09 09:46:38	3,0403
2020.07.09 09:46:39	3,0402
2020.07.09 09:46:40	3,0403
2020.07.09 09:46:41	3,0405
2020.07.09 09:46:42	3,0403
2020.07.09 09:46:43	3,0399
2020.07.09 09:46:44	3,0401
2020.07.09 09:46:45	3,0403
2020.07.09 09:46:46	3,0402
2020.07.09 09:46:47	3,0403
2020.07.09 09:46:48	3,0401
2020.07.09 09:46:49	3,0402
2020.07.09 09:46:50	3,0406
2020.07.09 09:46:51	3,0403
2020.07.09 09:46:52	3,0399
2020.07.09 09:46:53	3,0393
2020.07.09 09:46:54	3,0390
2020.07.09 09:46:55	3,0392
2020.07.09 09:46:56	3,0394
2020.07.09 09:46:57	3,0394
2020.07.09 09:46:58	3,0395
2020.07.09 09:46:59	3,0394
2020.07.09 09:47:00	3,0391
2020.07.09 09:47:01	3,0389
2020.07.09 09:47:02	3,0391
2020.07.09 09:47:03	3,0386
2020.07.09 09:47:04	3,0377
2020.07.09 09:47:05	3,0377
2020.07.09 09:47:06	3,0383
2020.07.09 09:47:07	3,0381
2020.07.09 09:47:08	3,0383
2020.07.09 09:47:09	3,0388
2020.07.09 09:47:10	3,0386
2020.07.09 09:47:11	3,0386
2020.07.09 09:47:12	3,0387
2020.07.09 09:47:13	3,0386
2020.07.09 09:47:14	3,0379
2020.07.09 09:47:15	3,0369
2020.07.09 09:47:16	3,0368
2020.07.09 09:47:17	3,0373
2020.07.09 09:47:18	3,0376
2020.07.09 09:47:19	3,0378
2020.07.09 09:47:20	3,0377
2020.07.09 09:47:21	3,0372
2020.07.09 09:47:22	3,0370
2020.07.09 09:47:23	3,0375
2020.07.09 09:47:24	3,0375
2020.07.09 09:47:25	3,0370
2020.07.09 09:47:26	3,0370
2020.07.09 09:47:27	3,0372
2020.07.09 09:47:28	3,0370
2020.07.09 09:47:29	3,0368
2020.07.09 09:47:30	3,0369
2020.07.09 09:47:31	3,0369
2020.07.09 09:47:32	3,0367
2020.07.09 09:47:33	3,0369
2020.07.09 09:47:34	3,0372
2020.07.09 09:47:35	3,0366
2020.07.09 09:47:36	3,0361
2020.07.09 09:47:37	3,0359
2020.07.09 09:47:38	3,0359
2020.07.09 09:47:39	3,0356
2020.07.09 09:47:40	3,0353
2020.07.09 09:47:41	3,0358
2020.07.09 09:47:42	3,0365
2020.07.09 09:47:43	3,0361
2020.07.09 09:47:44	3,0357
2020.07.09 09:47:45	3,0361
2020.07.09 09:47:46	3,0358
2020.07.09 09:47:47	3,0357
2020.07.09 09:47:48	3,0361
2020.07.09 09:47:49	3,0359
2020.07.09 09:47:50	3,0357
2020.07.09 09:47:51	3,0362
2020.07.09 09:47:52	3,0367
2020.07.09 09:47:53	3,0361
2020.07.09 09:47:54	3,0355
2020.07.09 09:47:55	3,0359
2020.07.09 09:47:56	3,0354
2020.07.09 09:47:57	3,0345
2020.07.09 09:47:58	3,0345
2020.07.09 09:47:59	3,0347
2020.07.09 09:48:00	3,0350
2020.07.09 09:48:01	3,0353
2020.07.09 09:48:02	3,0353
2020.07.09 09:48:03	3,0356
2020.07.09 09:48:04	3,0351
2020.07.09 09:48:05	3,0341
2020.07.09 09:48:06	3,0344
2020.07.09 09:48:07	3,0345
2020.07.09 09:48:08	3,0335
2020.07.09 09:48:09	3,0332
2020.07.09 09:48:10	3,0333
2020.07.09 09:48:11	3,0334
2020.07.09 09:48:12	3,0344
2020.07.09 09:48:13	3,0350
2020.07.09 09:48:14	3,0353
2020.07.09 09:48:15	3,0348
2020.07.09 09:48:16	3,0343
2020.07.09 09:48:17	3,0348
2020.07.09 09:48:18	3,0343
2020.07.09 09:48:19	3,0338
2020.07.09 09:48:20	3,0338
2020.07.09 09:48:21	3,0341
2020.07.09 09:48:22	3,0336
2020.07.09 09:48:23	3,0331
2020.07.09 09:48:24	3,0339
2020.07.09 09:48:25	3,0336
2020.07.09 09:48:26	3,0334
2020.07.09 09:48:27	3,0336
2020.07.09 09:48:28	3,0339
2020.07.09 09:48:29	3,0336
2020.07.09 09:48:30	3,0331
2020.07.09 09:48:31	3,0336
2020.07.09 09:48:32	3,0336
2020.07.09 09:48:33	3,0333
2020.07.09 09:48:34	3,0332
2020.07.09 09:48:35	3,0336
2020.07.09 09:48:36	3,0336
2020.07.09 09:48:37	3,0331
2020.07.09 09:48:38	3,0337
2020.07.09 09:48:39	3,0341
2020.07.09 09:48:40	3,0331
2020.07.09 09:48:41	3,0327
2020.07.09 09:48:42	3,0326
2020.07.09 09:48:43	3,0328
2020.07.09 09:48:44	3,0331
2020.07.09 09:48:45	3,0334
2020.07.09 09:48:46	3,0340
2020.07.09 09:48:47	3,0334
2020.07.09 09:48:48	3,0326
2020.07.09 09:48:49	3,0330
2020.07.09 09:48:50	3,0328
2020.07.09 09:48:51	3,0322
2020.07.09 09:48:52	3,0319
2020.07.09 09:48:53	3,0322
2020.07.09 09:48:54	3,0326
2020.07.09 09:48:55	3,0327
2020.07.09 09:48:56	3,0331
2020.07.09 09:48:57	3,0336
2020.07.09 09:48:58	3,0329
2020.07.09 09:48:59	3,0323
2020.07.09 09:49:00	3,0327
2020.07.09 09:49:01	3,0328
2020.07.09 09:49:02	3,0322
2020.07.09 09:49:03	3,0319
2020.07.09 09:49:04	3,0319
2020.07.09 09:49:05	3,0318
2020.07.09 09:49:06	3,0321
2020.07.09 09:49:07	3,0329
2020.07.09 09:49:08	3,0329
2020.07.09 09:49:09	3,0320
2020.07.09 09:49:10	3,0317
2020.07.09 09:49:11	3,0321
2020.07.09 09:49:12	3,0318
2020.07.09 09:49:13	3,0310
2020.07.09 09:49:14	3,0310
2020.07.09 09:49:15	3,0313
2020.07.09 09:49:16	3,0309
2020.07.09 09:49:17	3,0306
2020.07.09 09:49:18	3,0314
2020.07.09 09:49:19	3,0317
2020.07.09 09:49:20	3,0314
2020.07.09 09:49:21	3,0316
2020.07.09 09:49:22	3,0318
2020.07.09 09:49:23	3,0311
2020.07.09 09:49:24	3,0306
2020.07.09 09:49:25	3,0310
2020.07.09 09:49:26	3,0314
2020.07.09 09:49:27	3,0312
2020.07.09 09:49:28	3,0313
2020.07.09 09:49:29	3,0317
2020.07.09 09:49:30	3,0317
2020.07.09 09:49:31	3,0313
2020.07.09 09:49:32	3,0315
2020.07.09 09:49:33	3,0311
2020.07.09 09:49:34	3,0301
2020.07.09 09:49:35	3,0299
2020.07.09 09:49:36	3,0301
2020.07.09 09:49:37	3,0306
2020.07.09 09:49:38	3,0307
2020.07.09 09:49:39	3,0311
2020.07.09 09:49:40	3,0310
2020.07.09 09:49:41	3,0304
2020.07.09 09:49:42	3,0306
2020.07.09 09:49:43	3,0308
2020.07.09 09:49:44	3,0304
2020.07.09 09:49:45	3,0297
2020.07.09 09:49:46	3,0292
2020.07.09 09:49:47	3,0290
2020.07.09 09:49:48	3,0291
2020.07.09 09:49:49	3,0297
2020.07.09 09:49:50	3,0302
2020.07.09 09:49:51	3,0300
2020.07.09 09:49:52	3,0293
2020.07.09 09:49:53	3,0296
2020.07.09 09:49:54	3,0301
2020.07.09 09:49:55	3,0298
2020.07.09 09:49:56	3,0293
2020.07.09 09:49:57	3,0288
2020.07.09 09:49:58	3,0290
2020.07.09 09:49:59	3,0292
2020.07.09 09:50:00	3,0292
2020.07.09 09:50:01	3,0291
2020.07.09 09:50:02	3,0288
2020.07.09 09:50:03	3,0285
2020.07.09 09:50:04	3,0283
2020.07.09 09:50:05	3,0282
2020.07.09 09:50:06	3,0277
2020.07.09 09:50:07	3,0275
2020.07.09 09:50:08	3,0277
2020.07.09 09:50:09	3,0276
2020.07.09 09:50:10	3,0279
2020.07.09 09:50:11	3,0286
2020.07.09 09:50:12	3,0289
2020.07.09 09:50:13	3,0285
2020.07.09 09:50:14	3,0284
2020.07.09 09:50:15	3,0290
2020.07.09 09:50:16	3,0291
2020.07.09 09:50:17	3,0282
2020.07.09 09:50:18	3,0279
2020.07.09 09:50:19	3,0279
2020.07.09 09:50:20	3,0275
2020.07.09 09:50:21	3,0281
2020.07.09 09:50:22	3,0288
2020.07.09 09:50:23	3,0290
2020.07.09 09:50:24	3,0287
2020.07.09 09:50:25	3,0280
2020.07.09 09:50:26	3,0089
2020.07.09 09:50:27	2,9539
2020.07.09 09:50:28	2,7735
2020.07.09 09:50:29	2,8982
2020.07.09 09:50:30	2,8457
2020.07.09 09:50:31	2,8499
2020.07.09 09:50:32	2,8428
2020.07.09 09:50:33	2,8460
2020.07.09 09:50:34	2,8462
2020.07.09 09:50:35	2,8458
2020.07.09 09:50:36	2,8459
2020.07.09 09:50:37	2,8466
2020.07.09 09:50:38	2,8481
2020.07.09 09:50:39	2,8475
2020.07.09 09:50:40	2,8471
2020.07.09 09:50:41	2,8465
2020.07.09 09:50:42	2,8462
2020.07.09 09:50:43	2,8478
2020.07.09 09:50:44	2,8472
2020.07.09 09:50:45	2,8471
2020.07.09 09:50:46	2,8496
2020.07.09 09:50:47	2,8507
2020.07.09 09:50:48	2,8527
2020.07.09 09:50:49	2,8526
2020.07.09 09:50:50	2,8523
2020.07.09 09:50:51	2,8531
2020.07.09 09:50:52	2,8529
2020.07.09 09:50:53	2,8533
2020.07.09 09:50:54	2,8538
2020.07.09 09:50:55	2,8546
2020.07.09 09:50:56	2,8556
2020.07.09 09:50:57	2,8571
2020.07.09 09:50:58	2,8576
2020.07.09 09:50:59	2,8586
2020.07.09 09:51:00	2,8601
2020.07.09 09:51:02	2,8601
2020.07.09 09:51:03	2,8604
2020.07.09 09:51:04	2,8598
2020.07.09 09:51:05	2,8598
2020.07.09 09:51:06	2,8602
2020.07.09 09:51:07	2,8581
2020.07.09 09:51:08	2,8583
2020.07.09 09:51:09	2,8590
2020.07.09 09:51:10	2,8588
2020.07.09 09:51:11	2,8607
2020.07.09 09:51:12	2,8627
2020.07.09 09:51:13	2,8636
2020.07.09 09:51:14	2,8656
2020.07.09 09:51:15	2,8657
2020.07.09 09:51:16	2,8618
2020.07.09 09:51:17	2,8620
2020.07.09 09:51:18	2,8649
2020.07.09 09:51:19	2,8649
2020.07.09 09:51:20	2,8638
2020.07.09 09:51:21	2,8647
2020.07.09 09:51:22	2,8660
2020.07.09 09:51:23	2,8667
2020.07.09 09:51:24	2,8680
2020.07.09 09:51:25	2,8686
2020.07.09 09:51:26	2,8691
2020.07.09 09:51:27	2,8693
2020.07.09 09:51:28	2,8670
2020.07.09 09:51:29	2,8665
2020.07.09 09:51:30	2,8675
2020.07.09 09:51:31	2,8681
2020.07.09 09:51:32	2,8693
2020.07.09 09:51:33	2,8718
2020.07.09 09:51:34	2,8726
2020.07.09 09:51:35	2,8725
2020.07.09 09:51:36	2,8732
2020.07.09 09:51:37	2,8728
2020.07.09 09:51:38	2,8745
2020.07.09 09:51:39	2,8732
2020.07.09 09:51:40	2,8689
2020.07.09 09:51:41	2,8691
2020.07.09 09:51:42	2,8704
2020.07.09 09:51:43	2,8716
2020.07.09 09:51:44	2,8728
2020.07.09 09:51:45	2,8740
2020.07.09 09:51:46	2,8758
2020.07.09 09:51:47	2,8777
2020.07.09 09:51:48	2,8786
2020.07.09 09:51:49	2,8782
2020.07.09 09:51:50	2,8753
2020.07.09 09:51:51	2,8724
2020.07.09 09:51:52	2,8732
2020.07.09 09:51:53	2,8750
2020.07.09 09:51:54	2,8744
2020.07.09 09:51:55	2,8727
2020.07.09 09:51:56	2,8732
2020.07.09 09:51:57	2,8755
2020.07.09 09:51:58	2,8768
2020.07.09 09:51:59	2,8764
2020.07.09 09:52:00	2,8762
2020.07.09 09:52:01	2,8764
2020.07.09 09:52:02	2,8765
2020.07.09 09:52:03	2,8770
2020.07.09 09:52:04	2,8752
2020.07.09 09:52:05	2,8743
2020.07.09 09:52:06	2,8763
2020.07.09 09:52:07	2,8777
2020.07.09 09:52:08	2,8789
2020.07.09 09:52:09	2,8797
2020.07.09 09:52:10	2,8796
2020.07.09 09:52:11	2,8780
2020.07.09 09:52:12	2,8779
2020.07.09 09:52:13	2,8788
2020.07.09 09:52:14	2,8796
2020.07.09 09:52:15	2,8810
2020.07.09 09:52:16	2,8835
2020.07.09 09:52:17	2,8858
2020.07.09 09:52:18	2,8841
2020.07.09 09:52:19	2,8832
2020.07.09 09:52:20	2,8834
2020.07.09 09:52:21	2,8830
2020.07.09 09:52:22	2,8842
2020.07.09 09:52:23	2,8850
2020.07.09 09:52:24	2,8839
2020.07.09 09:52:25	2,8824
2020.07.09 09:52:26	2,8829
2020.07.09 09:52:27	2,8839
2020.07.09 09:52:28	2,8840
2020.07.09 09:52:29	2,8841
2020.07.09 09:52:30	2,8835
2020.07.09 09:52:31	2,8837
2020.07.09 09:52:32	2,8836
2020.07.09 09:52:33	2,8814
2020.07.09 09:52:34	2,8815
2020.07.09 09:52:35	2,8841
2020.07.09 09:52:36	2,8868
2020.07.09 09:52:37	2,8889
2020.07.09 09:52:38	2,8852
2020.07.09 09:52:39	2,8807
2020.07.09 09:52:40	2,8807
2020.07.09 09:52:41	2,8817
2020.07.09 09:52:42	2,8844
2020.07.09 09:52:43	2,8855
2020.07.09 09:52:44	2,8847
2020.07.09 09:52:45	2,8865
2020.07.09 09:52:46	2,8874
2020.07.09 09:52:47	2,8874
2020.07.09 09:52:48	2,8877
2020.07.09 09:52:49	2,8871
2020.07.09 09:52:50	2,8878
2020.07.09 09:52:51	2,8889
2020.07.09 09:52:52	2,8887
2020.07.09 09:52:53	2,8887
2020.07.09 09:52:54	2,8893
2020.07.09 09:52:55	2,8902
2020.07.09 09:52:56	2,8905
2020.07.09 09:52:57	2,8914
2020.07.09 09:52:58	2,8715
2020.07.09 09:52:59	2,8719
2020.07.09 09:53:00	2,8729
2020.07.09 09:53:01	2,8773
2020.07.09 09:53:02	2,8836
2020.07.09 09:53:03	2,8828
2020.07.09 09:53:04	2,8761
2020.07.09 09:53:05	2,8706
2020.07.09 09:53:06	2,8679
2020.07.09 09:53:07	2,8703
2020.07.09 09:53:08	2,8722
2020.07.09 09:53:09	2,8747
2020.07.09 09:53:10	2,8766
2020.07.09 09:53:11	2,8725
2020.07.09 09:53:12	2,8677
2020.07.09 09:53:13	2,8752
2020.07.09 09:53:14	2,8757
2020.07.09 09:53:15	2,8748
2020.07.09 09:53:16	2,8747
2020.07.09 09:53:17	2,8768
2020.07.09 09:53:18	2,8762
2020.07.09 09:53:19	2,8765
2020.07.09 09:53:20	2,8784
2020.07.09 09:53:21	2,8825
2020.07.09 09:53:22	2,8826
2020.07.09 09:53:23	2,8768
2020.07.09 09:53:24	2,8751
2020.07.09 09:53:25	2,8784
2020.07.09 09:53:26	2,8802
2020.07.09 09:53:27	2,8793
2020.07.09 09:53:28	2,8793
2020.07.09 09:53:29	2,8787
2020.07.09 09:53:30	2,8802
2020.07.09 09:53:31	2,8822
2020.07.09 09:53:32	2,8807
2020.07.09 09:53:33	2,8843
2020.07.09 09:53:34	2,8910
2020.07.09 09:53:35	2,8922
2020.07.09 09:53:36	2,8931
2020.07.09 09:53:37	2,8979
2020.07.09 09:53:38	2,8987
2020.07.09 09:53:39	2,8935
2020.07.09 09:53:40	2,8886
2020.07.09 09:53:41	2,8863
2020.07.09 09:53:42	2,8855
2020.07.09 09:53:43	2,8851
2020.07.09 09:53:44	2,8701
2020.07.09 09:53:45	2,8807
2020.07.09 09:53:46	2,8887
2020.07.09 09:53:47	2,8898
2020.07.09 09:53:48	2,8913
2020.07.09 09:53:49	2,8953
2020.07.09 09:53:50	2,8986
2020.07.09 09:53:51	2,8805
2020.07.09 09:53:52	2,8806
2020.07.09 09:53:53	2,8838
2020.07.09 09:53:54	2,8861
2020.07.09 09:53:55	2,8814
2020.07.09 09:53:56	2,8794
2020.07.09 09:53:57	2,8789
2020.07.09 09:53:58	2,8776
2020.07.09 09:53:59	2,8753
2020.07.09 09:54:00	2,8717
2020.07.09 09:54:01	2,8717
2020.07.09 09:54:02	2,8761
2020.07.09 09:54:03	2,8715
2020.07.09 09:54:04	2,8746
2020.07.09 09:54:05	2,8792
2020.07.09 09:54:06	2,8663
2020.07.09 09:54:07	2,8710
2020.07.09 09:54:08	2,8732
2020.07.09 09:54:09	2,8772
2020.07.09 09:54:10	2,8786
2020.07.09 09:54:11	2,8799
2020.07.09 09:54:12	2,8815
2020.07.09 09:54:13	2,8807
2020.07.09 09:54:14	2,8786
2020.07.09 09:54:15	2,8766
2020.07.09 09:54:16	2,8746
2020.07.09 09:54:17	2,8746
2020.07.09 09:54:18	2,8747
2020.07.09 09:54:19	2,8760
2020.07.09 09:54:20	2,8782
2020.07.09 09:54:21	2,8771
2020.07.09 09:54:22	2,8762
2020.07.09 09:54:23	2,8803
2020.07.09 09:54:24	2,8864
2020.07.09 09:54:25	2,8876
2020.07.09 09:54:26	2,8862
2020.07.09 09:54:27	2,8835
2020.07.09 09:54:28	2,8789
2020.07.09 09:54:29	2,8784
2020.07.09 09:54:30	2,8778
2020.07.09 09:54:31	2,8733
2020.07.09 09:54:32	2,8719
2020.07.09 09:54:33	2,8847
2020.07.09 09:54:34	2,8829
2020.07.09 09:54:35	2,8823
2020.07.09 09:54:36	2,8808
2020.07.09 09:54:37	2,8796
2020.07.09 09:54:38	2,8787
2020.07.09 09:54:39	2,8787
2020.07.09 09:54:40	2,8748
2020.07.09 09:54:41	2,8736
2020.07.09 09:54:42	2,8765
2020.07.09 09:54:43	2,8788
2020.07.09 09:54:44	2,8811
2020.07.09 09:54:45	2,8844
2020.07.09 09:54:46	2,8863
2020.07.09 09:54:47	2,8757
2020.07.09 09:54:48	2,8788
2020.07.09 09:54:49	2,8791
2020.07.09 09:54:50	2,8916
2020.07.09 09:54:51	2,8905
2020.07.09 09:54:52	2,8875
2020.07.09 09:54:53	2,8826
2020.07.09 09:54:54	2,8849
2020.07.09 09:54:55	2,8887
2020.07.09 09:54:56	2,8898
2020.07.09 09:54:57	2,8919
2020.07.09 09:54:58	2,8897
2020.07.09 09:54:59	2,8834
2020.07.09 09:55:00	2,8799
2020.07.09 09:55:01	2,8791
2020.07.09 09:55:02	2,8805
2020.07.09 09:55:03	2,8757
2020.07.09 09:55:04	2,8732
2020.07.09 09:55:05	2,8877
2020.07.09 09:55:06	2,8856
2020.07.09 09:55:07	2,8845
2020.07.09 09:55:08	2,9089
2020.07.09 09:55:09	2,9013
2020.07.09 09:55:10	2,8856
2020.07.09 09:55:11	2,8836
2020.07.09 09:55:12	2,8843
2020.07.09 09:55:13	2,8856
2020.07.09 09:55:14	2,8860
2020.07.09 09:55:15	2,8850
2020.07.09 09:55:16	2,8870
2020.07.09 09:55:17	2,9012
2020.07.09 09:55:18	2,9019
2020.07.09 09:55:19	2,8811
2020.07.09 09:55:20	2,8868
2020.07.09 09:55:21	3,0110
2020.07.09 09:55:22	2,9998
2020.07.09 09:55:23	3,0060
