 	K1: SI:1
 	V AD
 	 
2020.07.05 08:17:09	 
2020.07.05 08:17:10	06,087
2020.07.05 08:17:11	06,086
2020.07.05 08:17:12	06,087
2020.07.05 08:17:14	06,087
2020.07.05 08:17:15	06,090
2020.07.05 08:17:16	06,091
2020.07.05 08:17:17	06,088
2020.07.05 08:17:18	06,087
2020.07.05 08:17:19	06,086
2020.07.05 08:17:20	06,085
2020.07.05 08:17:21	06,089
2020.07.05 08:17:22	06,091
2020.07.05 08:17:23	06,089
2020.07.05 08:17:24	06,088
2020.07.05 08:17:25	06,086
2020.07.05 08:17:27	06,086
2020.07.05 08:17:28	06,087
2020.07.05 08:17:29	06,089
2020.07.05 08:17:30	06,091
2020.07.05 08:17:31	06,092
2020.07.05 08:17:32	06,091
2020.07.05 08:17:33	06,091
2020.07.05 08:17:34	06,089
2020.07.05 08:17:35	06,086
2020.07.05 08:17:36	06,088
2020.07.05 08:17:37	06,090
2020.07.05 08:17:38	06,092
2020.07.05 08:17:39	06,092
2020.07.05 08:17:40	06,085
2020.07.05 08:17:41	06,083
2020.07.05 08:17:42	06,084
2020.07.05 08:17:43	06,086
2020.07.05 08:17:44	06,089
2020.07.05 08:17:45	06,088
2020.07.05 08:17:46	06,089
2020.07.05 08:17:47	06,092
2020.07.05 08:17:48	06,093
2020.07.05 08:17:49	06,092
2020.07.05 08:17:50	06,092
2020.07.05 08:17:51	06,088
2020.07.05 08:17:52	06,086
2020.07.05 08:17:53	06,090
2020.07.05 08:17:54	06,094
2020.07.05 08:17:55	06,090
2020.07.05 08:17:56	06,084
2020.07.05 08:17:57	06,087
2020.07.05 08:17:58	06,089
2020.07.05 08:17:59	06,088
2020.07.05 08:18:00	06,090
2020.07.05 08:18:01	06,090
2020.07.05 08:18:02	06,091
2020.07.05 08:18:03	06,095
2020.07.05 08:18:04	06,096
2020.07.05 08:18:05	06,093
2020.07.05 08:18:06	06,094
2020.07.05 08:18:07	06,098
2020.07.05 08:18:08	06,094
2020.07.05 08:18:09	06,091
2020.07.05 08:18:10	06,091
2020.07.05 08:18:11	06,089
2020.07.05 08:18:12	06,087
2020.07.05 08:18:13	06,091
2020.07.05 08:18:14	06,093
2020.07.05 08:18:15	06,091
2020.07.05 08:18:16	06,089
2020.07.05 08:18:17	06,086
2020.07.05 08:18:18	06,087
2020.07.05 08:18:19	06,090
2020.07.05 08:18:20	06,087
2020.07.05 08:18:21	06,087
2020.07.05 08:18:22	06,089
2020.07.05 08:18:23	06,094
2020.07.05 08:18:24	06,093
2020.07.05 08:18:25	06,087
2020.07.05 08:18:26	06,088
2020.07.05 08:18:27	06,089
2020.07.05 08:18:28	06,089
2020.07.05 08:18:29	06,088
2020.07.05 08:18:30	06,087
2020.07.05 08:18:31	06,088
2020.07.05 08:18:32	06,089
2020.07.05 08:18:33	06,089
2020.07.05 08:18:34	06,086
2020.07.05 08:18:35	06,085
2020.07.05 08:18:36	06,089
2020.07.05 08:18:37	06,094
2020.07.05 08:18:38	06,092
2020.07.05 08:18:39	06,087
2020.07.05 08:18:40	06,084
2020.07.05 08:18:41	06,082
2020.07.05 08:18:42	06,081
2020.07.05 08:18:43	06,083
2020.07.05 08:18:44	06,082
2020.07.05 08:18:45	06,081
2020.07.05 08:18:46	06,084
2020.07.05 08:18:47	06,082
2020.07.05 08:18:48	06,081
2020.07.05 08:18:49	06,081
2020.07.05 08:18:50	06,082
2020.07.05 08:18:51	06,090
2020.07.05 08:18:52	06,094
2020.07.05 08:18:53	06,091
2020.07.05 08:18:54	06,085
2020.07.05 08:18:55	06,083
2020.07.05 08:18:56	06,084
2020.07.05 08:18:58	06,084
2020.07.05 08:18:59	06,087
2020.07.05 08:19:00	06,089
2020.07.05 08:19:01	06,088
2020.07.05 08:19:02	06,081
2020.07.05 08:19:03	06,080
2020.07.05 08:19:04	06,088
2020.07.05 08:19:05	06,092
2020.07.05 08:19:06	06,087
2020.07.05 08:19:07	06,084
2020.07.05 08:19:08	06,088
2020.07.05 08:19:09	06,088
2020.07.05 08:19:10	06,085
2020.07.05 08:19:11	06,085
2020.07.05 08:19:12	06,083
2020.07.05 08:19:13	06,083
2020.07.05 08:19:14	06,082
2020.07.05 08:19:15	06,083
2020.07.05 08:19:16	06,087
2020.07.05 08:19:17	06,089
2020.07.05 08:19:18	06,090
2020.07.05 08:19:19	06,087
2020.07.05 08:19:20	06,078
2020.07.05 08:19:21	06,073
2020.07.05 08:19:22	06,076
2020.07.05 08:19:23	06,079
2020.07.05 08:19:24	06,081
2020.07.05 08:19:25	06,078
2020.07.05 08:19:26	06,078
2020.07.05 08:19:27	06,082
2020.07.05 08:19:28	06,081
2020.07.05 08:19:29	06,078
2020.07.05 08:19:30	06,080
2020.07.05 08:19:31	06,085
2020.07.05 08:19:32	06,085
2020.07.05 08:19:33	06,080
2020.07.05 08:19:34	06,080
2020.07.05 08:19:35	06,083
2020.07.05 08:19:36	06,086
2020.07.05 08:19:37	06,088
2020.07.05 08:19:38	06,087
2020.07.05 08:19:39	06,085
2020.07.05 08:19:40	06,083
2020.07.05 08:19:43	06,083
2020.07.05 08:19:44	06,081
2020.07.05 08:19:45	06,080
2020.07.05 08:19:46	06,085
2020.07.05 08:19:47	06,086
2020.07.05 08:19:48	06,090
2020.07.05 08:19:49	06,091
2020.07.05 08:19:50	06,092
2020.07.05 08:19:51	06,093
2020.07.05 08:19:52	06,090
2020.07.05 08:19:53	06,089
2020.07.05 08:19:54	06,086
2020.07.05 08:19:55	06,086
2020.07.05 08:19:56	06,089
2020.07.05 08:19:57	06,094
2020.07.05 08:19:58	06,097
2020.07.05 08:19:59	06,093
2020.07.05 08:20:00	06,093
2020.07.05 08:20:01	06,092
2020.07.05 08:20:02	06,094
2020.07.05 08:20:03	06,091
2020.07.05 08:20:04	06,084
2020.07.05 08:20:05	06,086
2020.07.05 08:20:06	06,088
2020.07.05 08:20:07	06,087
2020.07.05 08:20:08	06,088
2020.07.05 08:20:09	06,089
2020.07.05 08:20:11	06,089
2020.07.05 08:20:12	06,086
2020.07.05 08:20:13	06,083
2020.07.05 08:20:14	06,087
2020.07.05 08:20:15	06,092
2020.07.05 08:20:16	06,090
2020.07.05 08:20:17	06,088
2020.07.05 08:20:18	06,088
2020.07.05 08:20:19	06,089
2020.07.05 08:20:20	06,087
2020.07.05 08:20:21	06,087
2020.07.05 08:20:22	06,091
2020.07.05 08:20:23	06,087
2020.07.05 08:20:24	06,083
2020.07.05 08:20:26	06,083
2020.07.05 08:20:27	06,085
2020.07.05 08:20:28	06,084
2020.07.05 08:20:29	06,084
2020.07.05 08:20:30	06,088
2020.07.05 08:20:31	06,087
2020.07.05 08:20:32	06,083
2020.07.05 08:20:33	06,082
2020.07.05 08:20:34	06,084
2020.07.05 08:20:35	06,085
2020.07.05 08:20:36	06,083
2020.07.05 08:20:37	06,082
2020.07.05 08:20:38	06,083
2020.07.05 08:20:39	06,085
2020.07.05 08:20:40	06,087
2020.07.05 08:20:41	06,083
2020.07.05 08:20:42	06,079
2020.07.05 08:20:43	06,081
2020.07.05 08:20:44	06,081
2020.07.05 08:20:45	06,082
2020.07.05 08:20:46	06,085
2020.07.05 08:20:47	06,086
2020.07.05 08:20:48	06,090
2020.07.05 08:20:49	06,093
2020.07.05 08:20:50	06,094
2020.07.05 08:20:51	06,094
2020.07.05 08:20:52	06,091
2020.07.05 08:20:53	06,095
2020.07.05 08:20:54	06,096
2020.07.05 08:20:55	06,095
2020.07.05 08:20:56	06,093
2020.07.05 08:20:57	06,094
2020.07.05 08:20:58	06,098
2020.07.05 08:20:59	06,093
2020.07.05 08:21:00	06,088
2020.07.05 08:21:01	06,086
2020.07.05 08:21:02	06,086
2020.07.05 08:21:03	06,088
2020.07.05 08:21:04	06,089
2020.07.05 08:21:05	06,089
2020.07.05 08:21:06	06,092
2020.07.05 08:21:07	06,093
2020.07.05 08:21:08	06,091
2020.07.05 08:21:09	06,093
2020.07.05 08:21:10	06,098
2020.07.05 08:21:11	06,100
2020.07.05 08:21:12	06,098
2020.07.05 08:21:13	06,091
2020.07.05 08:21:14	06,090
2020.07.05 08:21:15	06,094
2020.07.05 08:21:16	06,098
2020.07.05 08:21:17	06,095
2020.07.05 08:21:18	06,092
2020.07.05 08:21:19	06,095
2020.07.05 08:21:20	06,095
2020.07.05 08:21:21	06,094
2020.07.05 08:21:22	06,092
2020.07.05 08:21:23	06,089
2020.07.05 08:21:24	06,088
2020.07.05 08:21:25	06,085
2020.07.05 08:21:26	06,085
2020.07.05 08:21:27	06,089
2020.07.05 08:21:28	06,088
2020.07.05 08:21:29	06,090
2020.07.05 08:21:30	06,095
2020.07.05 08:21:31	06,097
2020.07.05 08:21:32	06,097
2020.07.05 08:21:33	06,095
2020.07.05 08:21:34	06,091
2020.07.05 08:21:35	06,089
2020.07.05 08:21:36	06,091
2020.07.05 08:21:37	06,094
2020.07.05 08:21:38	06,092
2020.07.05 08:21:39	06,088
2020.07.05 08:21:40	06,089
2020.07.05 08:21:41	06,093
2020.07.05 08:21:42	06,092
2020.07.05 08:21:43	06,093
2020.07.05 08:21:44	06,097
2020.07.05 08:21:45	06,097
2020.07.05 08:21:46	06,094
2020.07.05 08:21:47	06,094
2020.07.05 08:21:48	06,096
2020.07.05 08:21:49	06,094
2020.07.05 08:21:50	06,097
2020.07.05 08:21:51	06,098
2020.07.05 08:21:52	06,097
2020.07.05 08:21:53	06,099
2020.07.05 08:21:54	06,099
2020.07.05 08:21:55	06,098
2020.07.05 08:21:56	06,097
2020.07.05 08:21:57	06,095
2020.07.05 08:21:58	06,088
2020.07.05 08:21:59	06,089
2020.07.05 08:22:00	06,093
2020.07.05 08:22:01	06,090
2020.07.05 08:22:02	06,086
2020.07.05 08:22:03	06,084
2020.07.05 08:22:04	06,084
2020.07.05 08:22:05	06,082
2020.07.05 08:22:06	06,082
2020.07.05 08:22:07	06,087
2020.07.05 08:22:08	06,092
2020.07.05 08:22:09	06,092
2020.07.05 08:22:10	06,091
2020.07.05 08:22:11	06,092
2020.07.05 08:22:15	06,092
2020.07.05 08:22:16	06,093
2020.07.05 08:22:17	06,090
2020.07.05 08:22:18	06,092
2020.07.05 08:22:19	06,092
2020.07.05 08:22:20	06,088
2020.07.05 08:22:21	06,089
2020.07.05 08:22:22	06,091
2020.07.05 08:22:23	06,090
2020.07.05 08:22:24	06,092
2020.07.05 08:22:25	06,090
2020.07.05 08:22:26	06,085
2020.07.05 08:22:27	06,083
2020.07.05 08:22:28	06,086
2020.07.05 08:22:29	06,089
2020.07.05 08:22:30	06,086
2020.07.05 08:22:31	06,085
2020.07.05 08:22:32	06,084
2020.07.05 08:22:33	06,089
2020.07.05 08:22:34	06,094
2020.07.05 08:22:35	06,093
2020.07.05 08:22:36	06,090
2020.07.05 08:22:37	06,085
2020.07.05 08:22:38	06,084
2020.07.05 08:22:39	06,081
2020.07.05 08:22:40	06,083
2020.07.05 08:22:41	06,088
2020.07.05 08:22:42	06,092
2020.07.05 08:22:43	06,094
2020.07.05 08:22:44	06,089
2020.07.05 08:22:45	06,085
2020.07.05 08:22:46	06,087
2020.07.05 08:22:47	06,089
2020.07.05 08:22:48	06,089
2020.07.05 08:22:49	06,088
2020.07.05 08:22:50	06,085
2020.07.05 08:22:51	06,082
2020.07.05 08:22:52	06,083
2020.07.05 08:22:53	06,082
2020.07.05 08:22:54	06,082
2020.07.05 08:22:55	06,090
2020.07.05 08:22:56	06,094
2020.07.05 08:22:57	06,093
2020.07.05 08:22:58	06,094
2020.07.05 08:22:59	06,089
2020.07.05 08:23:00	06,086
2020.07.05 08:23:01	06,086
2020.07.05 08:23:02	06,082
2020.07.05 08:23:03	06,077
2020.07.05 08:23:04	06,077
2020.07.05 08:23:05	06,080
2020.07.05 08:23:06	06,079
2020.07.05 08:23:07	06,085
2020.07.05 08:23:08	06,095
2020.07.05 08:23:09	06,093
2020.07.05 08:23:10	06,087
2020.07.05 08:23:11	06,083
2020.07.05 08:23:12	06,074
2020.07.05 08:23:13	06,070
2020.07.05 08:23:14	06,076
2020.07.05 08:23:15	06,077
2020.07.05 08:23:16	06,078
2020.07.05 08:23:17	06,079
2020.07.05 08:23:18	06,074
2020.07.05 08:23:19	06,075
2020.07.05 08:23:20	06,077
2020.07.05 08:23:21	06,081
2020.07.05 08:23:22	06,084
2020.07.05 08:23:23	06,075
2020.07.05 08:23:24	06,065
2020.07.05 08:23:25	06,070
2020.07.05 08:23:26	06,089
2020.07.05 08:23:27	06,100
2020.07.05 08:23:28	06,103
2020.07.05 08:23:29	06,110
2020.07.05 08:23:30	06,113
2020.07.05 08:23:31	06,112
2020.07.05 08:23:32	06,111
2020.07.05 08:23:33	06,109
2020.07.05 08:23:34	06,104
2020.07.05 08:23:35	06,099
2020.07.05 08:23:36	06,100
2020.07.05 08:23:37	06,099
2020.07.05 08:23:38	06,094
2020.07.05 08:23:39	06,094
2020.07.05 08:23:40	06,097
2020.07.05 08:23:41	06,098
2020.07.05 08:23:42	06,097
2020.07.05 08:23:43	06,097
2020.07.05 08:23:44	06,096
2020.07.05 08:23:45	06,096
2020.07.05 08:23:46	06,098
2020.07.05 08:23:47	06,095
2020.07.05 08:23:48	06,093
2020.07.05 08:23:49	06,094
2020.07.05 08:23:51	06,094
2020.07.05 08:23:52	06,096
2020.07.05 08:23:53	06,098
2020.07.05 08:23:54	06,099
2020.07.05 08:23:55	06,098
2020.07.05 08:23:56	06,098
2020.07.05 08:23:57	06,096
2020.07.05 08:23:58	06,092
2020.07.05 08:23:59	06,095
2020.07.05 08:24:00	06,098
2020.07.05 08:24:01	06,097
2020.07.05 08:24:02	06,094
2020.07.05 08:24:03	06,094
2020.07.05 08:24:04	06,098
2020.07.05 08:24:05	06,098
2020.07.05 08:24:06	06,094
2020.07.05 08:24:07	06,093
2020.07.05 08:24:08	06,093
2020.07.05 08:24:09	06,094
2020.07.05 08:24:10	06,097
2020.07.05 08:24:11	06,097
2020.07.05 08:24:12	06,098
2020.07.05 08:24:13	06,102
2020.07.05 08:24:14	06,103
2020.07.05 08:24:15	06,099
2020.07.05 08:24:16	06,098
2020.07.05 08:24:17	06,102
2020.07.05 08:24:18	06,104
2020.07.05 08:24:19	06,105
2020.07.05 08:24:20	06,104
2020.07.05 08:24:21	06,099
2020.07.05 08:24:22	06,096
2020.07.05 08:24:23	06,097
2020.07.05 08:24:24	06,098
2020.07.05 08:24:25	06,100
2020.07.05 08:24:27	06,100
2020.07.05 08:24:28	06,102
2020.07.05 08:24:29	06,107
2020.07.05 08:24:30	06,104
2020.07.05 08:24:31	06,098
2020.07.05 08:24:32	06,100
2020.07.05 08:24:33	06,102
2020.07.05 08:24:34	06,104
2020.07.05 08:24:35	06,109
2020.07.05 08:24:36	06,113
2020.07.05 08:24:37	06,106
2020.07.05 08:24:38	06,103
2020.07.05 08:24:39	06,104
2020.07.05 08:24:40	06,103
2020.07.05 08:24:41	06,107
2020.07.05 08:24:42	06,105
2020.07.05 08:24:43	06,101
2020.07.05 08:24:44	06,102
2020.07.05 08:24:45	06,101
2020.07.05 08:24:46	06,102
2020.07.05 08:24:47	06,102
2020.07.05 08:24:48	06,103
2020.07.05 08:24:49	06,104
2020.07.05 08:24:50	06,106
2020.07.05 08:24:51	06,105
2020.07.05 08:24:52	06,101
2020.07.05 08:24:53	06,103
2020.07.05 08:24:54	06,105
2020.07.05 08:24:55	06,102
2020.07.05 08:24:56	06,099
2020.07.05 08:24:57	06,098
2020.07.05 08:24:58	06,100
2020.07.05 08:24:59	06,105
2020.07.05 08:25:00	06,103
2020.07.05 08:25:01	06,095
2020.07.05 08:25:02	06,094
2020.07.05 08:25:03	06,099
2020.07.05 08:25:04	06,101
2020.07.05 08:25:05	06,102
2020.07.05 08:25:06	06,104
2020.07.05 08:25:07	06,102
2020.07.05 08:25:08	06,101
2020.07.05 08:25:09	06,100
2020.07.05 08:25:10	06,097
2020.07.05 08:25:11	06,096
2020.07.05 08:25:12	06,096
2020.07.05 08:25:13	06,100
2020.07.05 08:25:14	06,105
2020.07.05 08:25:15	06,105
2020.07.05 08:25:16	06,102
2020.07.05 08:25:17	06,102
2020.07.05 08:25:18	06,100
2020.07.05 08:25:19	06,098
2020.07.05 08:25:20	06,100
2020.07.05 08:25:21	06,103
2020.07.05 08:25:22	06,105
2020.07.05 08:25:23	06,107
2020.07.05 08:25:24	06,104
2020.07.05 08:25:25	06,100
2020.07.05 08:25:26	06,099
2020.07.05 08:25:27	06,100
2020.07.05 08:25:29	06,100
2020.07.05 08:25:30	06,101
2020.07.05 08:25:31	06,093
2020.07.05 08:25:32	06,092
2020.07.05 08:25:34	06,092
2020.07.05 08:25:35	06,094
2020.07.05 08:25:36	06,094
2020.07.05 08:25:37	06,099
2020.07.05 08:25:38	06,101
2020.07.05 08:25:39	06,099
2020.07.05 08:25:40	06,100
2020.07.05 08:25:41	06,102
2020.07.05 08:25:42	06,105
2020.07.05 08:25:43	06,106
2020.07.05 08:25:44	06,101
2020.07.05 08:25:45	06,096
2020.07.05 08:25:46	06,096
2020.07.05 08:25:47	06,099
2020.07.05 08:25:48	06,102
2020.07.05 08:25:49	06,103
2020.07.05 08:25:50	06,104
2020.07.05 08:25:51	06,104
2020.07.05 08:25:52	06,102
2020.07.05 08:25:53	06,101
2020.07.05 08:25:54	06,100
2020.07.05 08:25:55	06,101
2020.07.05 08:25:56	06,099
2020.07.05 08:25:57	06,093
2020.07.05 08:25:58	06,094
2020.07.05 08:25:59	06,093
2020.07.05 08:26:00	06,091
2020.07.05 08:26:01	06,093
2020.07.05 08:26:02	06,093
2020.07.05 08:26:03	06,089
2020.07.05 08:26:04	06,089
2020.07.05 08:26:05	06,092
2020.07.05 08:26:06	06,094
2020.07.05 08:26:07	06,094
2020.07.05 08:26:08	06,091
2020.07.05 08:26:09	06,089
2020.07.05 08:26:10	06,092
2020.07.05 08:26:11	06,093
2020.07.05 08:26:12	06,092
2020.07.05 08:26:13	06,092
2020.07.05 08:26:14	06,093
2020.07.05 08:26:15	06,095
2020.07.05 08:26:16	06,098
2020.07.05 08:26:17	06,101
2020.07.05 08:26:18	06,100
2020.07.05 08:26:19	06,097
2020.07.05 08:26:20	06,097
2020.07.05 08:26:21	06,098
2020.07.05 08:26:22	06,099
2020.07.05 08:26:23	06,100
2020.07.05 08:26:24	06,098
2020.07.05 08:26:25	06,096
2020.07.05 08:26:27	06,096
2020.07.05 08:26:28	06,094
2020.07.05 08:26:29	06,094
2020.07.05 08:26:30	06,099
2020.07.05 08:26:31	06,100
2020.07.05 08:26:32	06,092
2020.07.05 08:26:33	06,089
2020.07.05 08:26:34	06,090
2020.07.05 08:26:35	06,089
2020.07.05 08:26:36	06,088
2020.07.05 08:26:37	06,089
2020.07.05 08:26:38	06,092
2020.07.05 08:26:39	06,091
2020.07.05 08:26:40	06,095
2020.07.05 08:26:41	06,097
2020.07.05 08:26:42	06,087
2020.07.05 08:26:43	06,084
2020.07.05 08:26:44	06,091
2020.07.05 08:26:45	06,087
2020.07.05 08:26:46	06,084
2020.07.05 08:26:47	06,086
2020.07.05 08:26:48	06,088
2020.07.05 08:26:49	06,085
2020.07.05 08:26:50	06,084
2020.07.05 08:26:51	06,091
2020.07.05 08:26:52	06,091
2020.07.05 08:26:53	06,089
2020.07.05 08:26:54	06,088
2020.07.05 08:26:55	06,084
2020.07.05 08:26:56	06,087
2020.07.05 08:26:57	06,092
2020.07.05 08:26:58	06,092
2020.07.05 08:26:59	06,094
2020.07.05 08:27:00	06,091
2020.07.05 08:27:01	06,088
2020.07.05 08:27:02	06,091
2020.07.05 08:27:03	06,090
2020.07.05 08:27:04	06,093
2020.07.05 08:27:05	06,090
2020.07.05 08:27:06	06,086
2020.07.05 08:27:07	06,086
2020.07.05 08:27:08	06,083
2020.07.05 08:27:09	06,084
2020.07.05 08:27:10	06,089
2020.07.05 08:27:11	06,093
2020.07.05 08:27:12	06,094
2020.07.05 08:27:13	06,089
2020.07.05 08:27:14	06,090
2020.07.05 08:27:15	06,096
2020.07.05 08:27:16	06,093
2020.07.05 08:27:17	06,090
2020.07.05 08:27:18	06,092
2020.07.05 08:27:19	06,089
2020.07.05 08:27:20	06,089
2020.07.05 08:27:21	06,087
2020.07.05 08:27:22	06,082
2020.07.05 08:27:23	06,088
2020.07.05 08:27:24	06,088
2020.07.05 08:27:25	06,078
2020.07.05 08:27:26	06,079
2020.07.05 08:27:27	06,082
2020.07.05 08:27:28	06,081
2020.07.05 08:27:29	06,088
2020.07.05 08:27:30	06,088
2020.07.05 08:27:31	06,081
2020.07.05 08:27:32	06,078
2020.07.05 08:27:33	06,079
2020.07.05 08:27:34	06,087
2020.07.05 08:27:35	06,091
2020.07.05 08:27:36	06,088
2020.07.05 08:27:37	06,088
2020.07.05 08:27:38	06,091
2020.07.05 08:27:39	06,089
2020.07.05 08:27:40	06,088
2020.07.05 08:27:41	06,089
2020.07.05 08:27:42	06,092
2020.07.05 08:27:43	06,093
2020.07.05 08:27:44	06,089
2020.07.05 08:27:45	06,086
2020.07.05 08:27:46	06,085
2020.07.05 08:27:47	06,089
2020.07.05 08:27:48	06,090
2020.07.05 08:27:49	06,088
2020.07.05 08:27:50	06,089
2020.07.05 08:27:51	06,083
2020.07.05 08:27:52	06,083
2020.07.05 08:27:53	06,085
2020.07.05 08:27:54	06,084
2020.07.05 08:27:55	06,088
2020.07.05 08:27:56	06,090
2020.07.05 08:27:57	06,084
2020.07.05 08:27:58	06,081
2020.07.05 08:27:59	06,081
2020.07.05 08:28:00	06,086
2020.07.05 08:28:01	06,089
2020.07.05 08:28:02	06,079
2020.07.05 08:28:03	06,071
2020.07.05 08:28:04	06,079
2020.07.05 08:28:05	06,093
2020.07.05 08:28:06	06,094
2020.07.05 08:28:07	06,088
2020.07.05 08:28:08	06,082
2020.07.05 08:28:09	06,076
2020.07.05 08:28:10	06,081
2020.07.05 08:28:11	06,091
2020.07.05 08:28:12	06,098
2020.07.05 08:28:13	06,100
2020.07.05 08:28:14	06,092
2020.07.05 08:28:15	06,082
2020.07.05 08:28:16	06,080
2020.07.05 08:28:17	06,075
2020.07.05 08:28:18	06,076
2020.07.05 08:28:19	06,088
2020.07.05 08:28:20	06,098
2020.07.05 08:28:21	06,100
2020.07.05 08:28:22	06,097
2020.07.05 08:28:23	06,087
2020.07.05 08:28:24	06,076
2020.07.05 08:28:25	06,074
2020.07.05 08:28:26	06,080
2020.07.05 08:28:27	06,083
2020.07.05 08:28:28	06,079
2020.07.05 08:28:29	06,077
2020.07.05 08:28:30	06,078
2020.07.05 08:28:31	06,085
2020.07.05 08:28:32	06,090
2020.07.05 08:28:33	06,085
2020.07.05 08:28:34	06,079
2020.07.05 08:28:35	06,087
2020.07.05 08:28:36	06,083
2020.07.05 08:28:37	06,077
2020.07.05 08:28:38	06,080
2020.07.05 08:28:39	06,079
2020.07.05 08:28:40	06,078
2020.07.05 08:28:41	06,075
2020.07.05 08:28:42	06,074
2020.07.05 08:28:43	06,079
2020.07.05 08:28:44	06,078
2020.07.05 08:28:45	06,073
2020.07.05 08:28:46	06,076
2020.07.05 08:28:47	06,086
2020.07.05 08:28:48	06,084
2020.07.05 08:28:49	06,073
2020.07.05 08:28:50	06,080
2020.07.05 08:28:51	06,086
2020.07.05 08:28:52	06,074
2020.07.05 08:28:53	06,073
2020.07.05 08:28:54	06,081
2020.07.05 08:28:55	06,075
2020.07.05 08:28:56	06,077
2020.07.05 08:28:57	06,084
2020.07.05 08:28:58	06,070
2020.07.05 08:28:59	06,074
2020.07.05 08:29:00	06,087
2020.07.05 08:29:01	06,075
2020.07.05 08:29:02	06,061
2020.07.05 08:29:03	06,060
2020.07.05 08:29:04	06,072
2020.07.05 08:29:05	06,085
2020.07.05 08:29:06	06,083
2020.07.05 08:29:07	06,074
2020.07.05 08:29:08	06,067
2020.07.05 08:29:09	06,066
2020.07.05 08:29:10	06,069
2020.07.05 08:29:11	06,072
2020.07.05 08:29:12	06,078
2020.07.05 08:29:13	06,074
2020.07.05 08:29:14	06,064
2020.07.05 08:29:15	06,058
2020.07.05 08:29:16	06,057
2020.07.05 08:29:17	06,067
2020.07.05 08:29:18	06,080
2020.07.05 08:29:19	06,070
2020.07.05 08:29:20	06,062
2020.07.05 08:29:21	06,068
2020.07.05 08:29:22	06,067
2020.07.05 08:29:23	06,076
2020.07.05 08:29:24	06,087
2020.07.05 08:29:25	06,080
2020.07.05 08:29:26	06,069
2020.07.05 08:29:27	06,069
2020.07.05 08:29:28	06,085
2020.07.05 08:29:29	06,084
2020.07.05 08:29:30	06,069
2020.07.05 08:29:31	06,077
2020.07.05 08:29:32	06,095
2020.07.05 08:29:33	06,088
2020.07.05 08:29:34	06,068
2020.07.05 08:29:35	06,069
2020.07.05 08:29:36	06,067
2020.07.05 08:29:37	06,063
2020.07.05 08:29:38	06,073
2020.07.05 08:29:39	06,073
2020.07.05 08:29:40	06,066
2020.07.05 08:29:41	06,061
2020.07.05 08:29:42	06,066
2020.07.05 08:29:43	06,073
2020.07.05 08:29:44	06,068
2020.07.05 08:29:45	06,069
2020.07.05 08:29:46	06,070
2020.07.05 08:29:47	06,077
2020.07.05 08:29:48	06,080
2020.07.05 08:29:49	06,072
2020.07.05 08:29:50	06,079
2020.07.05 08:29:51	06,100
2020.07.05 08:29:52	06,110
2020.07.05 08:29:53	06,118
2020.07.05 08:29:54	06,125
2020.07.05 08:29:55	06,125
2020.07.05 08:29:56	06,124
2020.07.05 08:29:57	06,122
2020.07.05 08:29:58	06,121
2020.07.05 08:29:59	06,112
2020.07.05 08:30:00	06,103
2020.07.05 08:30:01	06,097
2020.07.05 08:30:02	06,093
2020.07.05 08:30:03	06,097
2020.07.05 08:30:04	06,101
2020.07.05 08:30:05	06,097
2020.07.05 08:30:06	06,094
2020.07.05 08:30:07	06,098
2020.07.05 08:30:08	06,103
2020.07.05 08:30:09	06,104
2020.07.05 08:30:10	06,096
2020.07.05 08:30:11	06,095
2020.07.05 08:30:12	06,101
2020.07.05 08:30:13	06,097
2020.07.05 08:30:14	06,097
2020.07.05 08:30:15	06,098
2020.07.05 08:30:16	06,098
2020.07.05 08:30:17	06,093
2020.07.05 08:30:18	06,092
2020.07.05 08:30:19	06,100
2020.07.05 08:30:20	06,099
2020.07.05 08:30:21	06,093
2020.07.05 08:30:22	06,096
2020.07.05 08:30:23	06,097
2020.07.05 08:30:24	06,091
2020.07.05 08:30:25	06,095
2020.07.05 08:30:26	06,096
2020.07.05 08:30:27	06,092
2020.07.05 08:30:28	06,094
2020.07.05 08:30:29	06,094
2020.07.05 08:30:30	06,096
2020.07.05 08:30:31	06,102
2020.07.05 08:30:32	06,104
2020.07.05 08:30:33	06,099
2020.07.05 08:30:34	06,094
2020.07.05 08:30:35	06,093
2020.07.05 08:30:36	06,096
2020.07.05 08:30:37	06,094
2020.07.05 08:30:38	06,091
2020.07.05 08:30:39	06,089
2020.07.05 08:30:40	06,094
2020.07.05 08:30:41	06,094
2020.07.05 08:30:42	06,089
2020.07.05 08:30:43	06,093
2020.07.05 08:30:44	06,094
2020.07.05 08:30:45	06,091
2020.07.05 08:30:46	06,097
2020.07.05 08:30:47	06,104
2020.07.05 08:30:48	06,105
2020.07.05 08:30:49	06,106
2020.07.05 08:30:50	06,101
2020.07.05 08:30:51	06,097
2020.07.05 08:30:52	06,099
2020.07.05 08:30:53	06,097
2020.07.05 08:30:54	06,098
2020.07.05 08:30:55	06,102
2020.07.05 08:30:56	06,099
2020.07.05 08:30:57	06,092
2020.07.05 08:30:58	06,087
2020.07.05 08:30:59	06,084
2020.07.05 08:31:00	06,082
2020.07.05 08:31:01	06,087
2020.07.05 08:31:02	06,092
2020.07.05 08:31:03	06,089
2020.07.05 08:31:04	06,088
2020.07.05 08:31:05	06,091
